Storm,Saffir-Simpson_Category,Date of landfall,Year,Landfall Intensity_knots,Landfall Location
Great Middle Florida,3,Aug-23,1851,100,Panama City
Unnamed,3,Aug-17,1871,100,Jupiter Island
Unnamed,3,Oct-07,1873,100,Captiva
Unnamed,3,Oct-03,1877,100,Panama City
Unnamed,3,Sep-10,1882,100,Navarre
Unnamed,3,Aug-16,1888,110,Miami Beach
Unnamed,3,Oct-09,1894,105,Panama City
Unnamed,3,Sep-10,1896,110,Cedar Key
Unnamed,3,Oct-18,1906,105,Marathon
Unnamed,3,Oct-11,1909,100,Marathon
Unnamed,3,Sep-29,1917,100,Okaloosa County
Unnamed,4,Sep-10,1919,130,Dry Tortugas
Great Miami,4,September 18–20,1926,125,Palmetto Bay
Okeechobee,4,Sep-17,1928,125,Palm Beach
Unnamed,3,Sep-04,1933,110,Jupiter
Labor Day,5,Sep-03,1935,160,Craig Key
Unnamed,3,Oct-18,1944,105,Dry Tortugas
Unnamed,4,Sep-15,1945,115,North Key Largo
Unnamed,4,Sep-17,1947,115,Port Everglades
Unnamed,4,September 21–22,1948,115,Saddlebunch Keys
Unnamed,4,Aug-26,1949,115,Lantana
Easy,3,Sep-05,1950,105,Near Cedar Key
King,4,Oct-18,1950,115,Downtown Miami
Donna,4,Sep-10,1960,115,Conch Key
Betsy,3,Sep-08,1965,110,Tavernier
Eloise,3,Sep-23,1975,110,Bay County
Elena,3,Sep-02,1985,100,"Gulfport, MS*"
Andrew,5,Aug-24,1992,145,Elliott Key
Opal,3,Oct-04,1995,100,Pensacola Beach
Charley,4,Aug-13,2004,130,Cayo Costa
Ivan,3,Sep-16,2004,105,"Near Gulf Shores, AL*"
Jeanne,3,Sep-26,2004,105,Hutchinson Island
Dennis,3,Jul-10,2005,105,Santa Rosa Island
Wilma,3,Oct-24,2005,105,Cape Romano
Matthew,2,October 6 / 7,2016,(strafed FL. coast),
Irma,4,Sep-10,2017,115,Cudjoe Key
Michael,4,Oct-10,2018,135,Mexico Beach
